alpha,CD,CL
-5,0.07905403334,0.1601140137
-4,0.07126589586,0.2095469188
-3,0.06585881716,0.2944870776
-2,0.06076573617,0.3833209274
-1,0.05749163014,0.5058958448
0,0.05676678981,0.6163612433
1,0.05931686965,0.7092668336
2,0.06477888348,0.7869371864
3,0.07035378078,0.8555484027
4,0.07789297971,0.9280297869
5,0.08601713652,0.9935681722
6,0.0949704002,1.05541834
7,0.1050399605,1.121560004
8,0.1157980396,1.189514669
9,0.126603661,1.247773633
10,0.1378190306,1.300544225
11,0.1506822037,1.351798181
12,0.1622625805,1.397591101
13,0.1752623676,1.443514117
14,0.1888250067,1.478484639
15,0.2031777391,1.510958294